ArtistName,SourceId,ExpectedMbid,ChosenMbid,Decision,Correct,Confidence,Margin,ApiCalls,ElapsedMs,Error
Dave Graney,13ad76f2a31048e2950ea7298570e8e1,59112643-349e-467a-a0dc-f4d8b545edb4,59112643-349e-467a-a0dc-f4d8b545edb4,needs_review,True,0.9707,3.5000,5,532,
Dave Graney 'n' the Coral Snakes,de2b1ddf94d849b9ac0cbe2dd6a4056c,142e8ae5-6967-4e44-9ffa-a110e12812f3,142e8ae5-6967-4e44-9ffa-a110e12812f3,needs_review,True,0.9707,3.5000,3,320,
Dave Greenfield,3127df005c2c41be896aeda3d48e655d,7a1ecf20-9aa0-4cce-b90f-fe9543acc524,7a1ecf20-9aa0-4cce-b90f-fe9543acc524,needs_review,True,0.9707,3.5000,4,454,
Dave Grohl,81ec379f948344308e3214fd10188965,4d5f891d-9bce-45ae-ad86-912dd27252fa,4d5f891d-9bce-45ae-ad86-912dd27252fa,needs_review,True,0.9707,3.5000,4,520,
Dave Grusin,1d4bef897f014b5ea0d6898bf35876a0,7915b61a-da59-4e4e-83d3-bde7a24bd1ba,7915b61a-da59-4e4e-83d3-bde7a24bd1ba,needs_review,True,0.8581,1.8000,5,405,
Dave Hall,d73bdf681dfe4361b2e821edb8ffdf88,1ae1ae18-6874-429e-81ce-91f49be9486f,a4103168-a041-4008-aee2-fa64096d9d47,needs_review,False,0.9707,3.5000,19,1694,
Dave Hamilton,4bc9a559f2b4456c8cff87feb746857e,1df1cdc5-b2cb-401d-91c9-dd9eb7120094,1df1cdc5-b2cb-401d-91c9-dd9eb7120094,needs_review,True,0.9707,3.5000,4,396,
Dave Hartley,f80829a0a49f4ffab9f7df061ccf8f0e,97dd63d9-f0e8-4142-b677-ddcb60e97357,c7a62de2-1ef6-4ce6-85bd-32b4a5b05915,needs_review,False,0.9707,3.5000,6,595,
Dave Haywood,54cda97fca874140a1d3763740fe21ed,0126eb12-d8e6-4065-8edf-e6052298def4,0126eb12-d8e6-4065-8edf-e6052298def4,needs_review,True,0.8581,1.8000,10,1054,
Dave Hodge,f6cd8e00a7fd4bde9b84c9420688a7fa,cc56563d-18dd-4a7e-a934-24fe9e884c56,bcc82459-7569-4fd8-a680-e5a75dbbb66f,needs_review,False,0.9707,3.5000,5,477,
Dave Jackson,55cfa51c019c443eb86102236cd7cb75,d4687220-9481-4a59-aa0d-fcf17db49076,59f34ae6-8814-4c3d-bda6-1e39323e7d23,needs_review,False,0.8581,1.8000,23,2783,
Dave Janusko,3d1dd4bed1ed437990997c1381223e7a,c1a3e079-76bb-46fe-83b3-cb057055c812,c1a3e079-76bb-46fe-83b3-cb057055c812,needs_review,True,0.9707,3.5000,4,476,
Dave Jolicoeur,cfd2579060bb4b0885090e6e3b29caef,85afb93c-62bb-455b-b806-079299d73db8,85afb93c-62bb-455b-b806-079299d73db8,needs_review,True,0.9707,3.5000,4,603,
Dave Kelly,6dd048ecb3fb436386a4517697034579,5b762e51-3bea-46d5-a6dc-56e6d96ab4a1,02d52624-fbf0-4b9a-8242-7e42cc6bef6e,needs_review,False,0.9707,3.5000,11,1102,
Dave Keuning,944c0ab77d9242cbae0f790add38c0a6,78d0dec5-997a-4334-b1a7-dc9c3c4ea1d4,78d0dec5-997a-4334-b1a7-dc9c3c4ea1d4,needs_review,True,0.9707,3.5000,17,1880,
Dave Krusen,64bf1fcdc2c441eaba9bbee5731fc243,e31955f8-989c-454a-a22f-a812ca1d2827,e31955f8-989c-454a-a22f-a812ca1d2827,needs_review,True,0.9707,3.5000,4,456,
Dave Lank,8d1368ca0058414fbf041eb00c733d9b,6268976b-f9d3-4bd5-91aa-9322346186bf,6268976b-f9d3-4bd5-91aa-9322346186bf,needs_review,True,0.9707,3.5000,4,534,
Dave Lazer,01124db70de64787a24138558b1ce502,cd8a3f50-de38-438e-aa28-f04c38650f70,cd8a3f50-de38-438e-aa28-f04c38650f70,needs_review,True,0.9707,3.5000,4,389,
Dave Lee,c01d4fde74fd4dceb4b3ce3e598f3962,bd5d5e5e-7782-44aa-9265-34753d7f35d4,bd5d5e5e-7782-44aa-9265-34753d7f35d4,needs_review,True,0.9707,3.5000,15,1555,
Dave Lovering,0b9e5734cda647f583ce86d598ccefed,211dc1cc-2d75-4413-8e65-ef0501e1a356,211dc1cc-2d75-4413-8e65-ef0501e1a356,needs_review,True,0.9707,3.5000,4,419,
Dave Mason,013fa94713584d298c440e891cddd115,d70c2ae1-911a-4bea-8ef4-63564a150ff2,d70c2ae1-911a-4bea-8ef4-63564a150ff2,needs_review,True,0.9707,3.5000,5,525,
Dave Matthews,976187bca0c04911ad4c123fe1ef3123,2fa95b32-3c11-42d7-b495-12fc6be0a024,2fa95b32-3c11-42d7-b495-12fc6be0a024,needs_review,True,0.9707,3.5000,5,514,
Dave Matthews Band,4e6c676a95ee405fb4a2fc8d11c9d3f3,07e748f1-075e-428d-85dc-ce3be434e906,07e748f1-075e-428d-85dc-ce3be434e906,needs_review,True,0.8581,1.8000,4,411,
Dave McCabe,1e7e009324094f02ab9eeb8a82793d5d,1162c7c8-9af7-4b88-ac93-0d3ef6b72d81,1162c7c8-9af7-4b88-ac93-0d3ef6b72d81,needs_review,True,0.9707,3.5000,5,547,
Dave McCracken,5e9d1e8c65434ae2b362ab0ce316aac3,244676ac-e6cf-4b46-bab0-290009d91036,244676ac-e6cf-4b46-bab0-290009d91036,needs_review,True,0.9707,3.5000,4,341,
Dave McSherry,87b55f9916ba4d549af24381b6b189ff,c0efa233-84a5-43c7-81bc-90cc9834cab5,c0efa233-84a5-43c7-81bc-90cc9834cab5,needs_review,True,0.9707,3.5000,4,345,
Dave Merenda,77c5df2bab9d42dcb11e007dd422e01b,4450331c-e66d-48df-b5e5-148f31cac633,4450331c-e66d-48df-b5e5-148f31cac633,needs_review,True,0.9707,3.5000,4,437,
